City/Town,Adult Use Status,Delivery Status,Social Consumption Pilot Municipality
Dracut,Zoning in place; license cap,Delivery permitted; Host Community Agreement signed with business maintaining/pursuing delivery license,No
Dudley,Zoning in place; license cap,Delivery permitted; Host Community Agreement signed with business maintaining/pursuing delivery license,No
Easthampton,Zoning in place; license cap,Delivery permitted; Host Community Agreement signed with business maintaining/pursuing delivery license,No
Abington,Zoning in place,Delivery permitted,No
Adams,Zoning in place,Delivery permitted,No
Amesbury,Zoning in place,Delivery permitted,No
Amherst,Zoning in place; license cap,Delivery permitted,No
Aquinnah,No zoning in place,Delivery permitted,No
Arlington,Zoning in place,Delivery permitted,No
Ashburnham,Zoning in place,Delivery permitted,No
Ashby,Zoning in place; license cap,Delivery permitted,No
Ashfield,Zoning in place,Delivery permitted,No
Athol,Zoning in place,Delivery permitted,No
Attleboro,Zoning in place,Delivery permitted,No
Ayer,Zoning in place; license cap,Delivery permitted,No
Becket,Zoning in place; license cap,Delivery permitted,No
Belchertown,Zoning in place,Delivery permitted,No
Belmont,Zoning in place; license cap,Delivery permitted,No
Berkley,Zoning in place,Delivery permitted,No
Berlin,Zoning in place,Delivery permitted,No
Bernardston,Zoning in place,Delivery permitted,No
Beverly,Zoning in place,Delivery permitted,No
Billerica,Zoning in place,Delivery permitted,No
Blackstone,Zoning in place,Delivery permitted,No
Blandford,Zoning in place,Delivery permitted,No
Bolton,Zoning in place; license cap,Delivery permitted,No
Boston,Zoning in place,Delivery permitted,No
Brewster,Zoning in place; license cap,Delivery permitted,No
Brimfield,Zoning in place,Delivery permitted,No
Brockton,Zoning in place,Delivery permitted,No
Brookfield,Zoning in place,Delivery permitted,No
Brookline,Zoning in place,Delivery permitted,No
Buckland,Zoning in place,Delivery permitted,No
Cambridge,Zoning in place,Delivery permitted,No
Carver,Zoning in place,Delivery permitted,No
Charlemont,Zoning in place,Delivery permitted,No
Chelsea,Zoning in place; license cap,Delivery permitted,No
Cheshire,Zoning in place; license cap,Delivery permitted,No
Chicopee,Zoning in place,Delivery permitted,No
Clarksburg,Zoning in place,Delivery permitted,No
Clinton,Zoning in place; license cap,Delivery permitted,No
Conway,Zoning in place,Delivery permitted,No
Dalton,Zoning in place; license cap,Delivery permitted,No
Dartmouth,Zoning in place,Delivery permitted,No
Deerfield,Zoning in place; license cap,Delivery permitted,No
Dighton,Zoning in place,Delivery permitted,No
Douglas,Zoning in place; license cap,Delivery permitted,No
East Brookfield,Zoning in place; license cap,Delivery permitted,No
Eastham,Zoning in place; license cap,Delivery permitted,No
Edgartown,Zoning in place,Delivery permitted,No
Egremont,No zoning in place,Delivery permitted,No
Erving,Zoning in place,Delivery permitted,No
Fairhaven,Zoning in place; license cap,Delivery permitted,No
Fall River,Zoning in place,Delivery permitted,No
Fitchburg,Zoning in place,Delivery permitted,No
Framingham,Zoning in place; license cap,Delivery permitted,No
Franklin,Zoning in place,Delivery permitted,No
Gardner,Zoning in place,Delivery permitted,No
Georgetown,Zoning in place,Delivery permitted,No
Gill,Zoning in place,Delivery permitted,No
Gloucester,Zoning in place; license cap,Delivery permitted,No
Grafton,Zoning in place,Delivery permitted,No
Granby,Zoning in place,Delivery permitted,No
Great Barrington,Zoning in place,Delivery permitted,No
Greenfield,Zoning in place,Delivery permitted,No
Groton,Zoning in place; retail license cap,Delivery permitted,No
Hadley,Zoning in place; retail license cap,Delivery permitted,No
Halifax,Zoning in place,Delivery permitted,No
Hancock,Zoning in place,Delivery permitted,No
Hardwick,Zoning in place,Delivery permitted,No
Harvard,Zoning in place,Delivery permitted,No
Hatfield,Zoning in place,Delivery permitted,No
Haverhill,Zoning in place,Delivery permitted,No
Heath,Zoning in place,Delivery permitted,No
Hinsdale,Zoning in place,Delivery permitted,No
Holland,Zoning in place,Delivery permitted,No
Holyoke,Zoning in place,Delivery permitted,No
Hopedale,Zoning in place,Delivery permitted,No
Hubbardston,Zoning in place,Delivery permitted,No
Hudson,Zoning in place,Delivery permitted,No
Kingston,Zoning in place,Delivery permitted,No
Lakeville,Zoning in place,Delivery permitted,No
Lanesborough,Zoning in place; license cap,Delivery permitted,No
Lee,Zoning in place,Delivery permitted,No
Lenox,Zoning in place; retail license cap,Delivery permitted,No
Leominster,Zoning in place,Delivery permitted,No
Leverett,No zoning in place,Delivery permitted,No
Leyden,No zoning in place,Delivery permitted,No
Lowell,"Zoning in place, retail license cap",Delivery permitted,No
Lunenburg,Zoning in place,Delivery permitted,No
Lynn,Zoning in place,Delivery permitted,No
Malden,Zoning in place,Delivery permitted,No
Manchester-by-the-Sea,Zoning in place,Delivery permitted,No
Mansfield,Zoning in place,Delivery permitted,No
Marblehead,Zoning in place; retail license cap,Delivery permitted,No
Marion,Zoning in place,Delivery permitted,No
Marlborough,Zoning in place,Delivery permitted,No
Marshfield,Zoning in place,Delivery permitted,No
